catcherid,balls,strikes,is_lhb,is_lhp,is_strike,is_swing,is_miss,is_ballinplay,px,pz,SpinRate,InducedVerticalBreak,HorizontalBreak,Pitch_Type
2,1,2,0,0,0,0,0,0,-1.28,1.37,2178.075315,13.03621452,10.98548073,FourSeam Fastball
2,2,2,0,0,0,0,0,0,-1.917,1.716,2227.741818,10.31124847,10.12332004,FourSeam Fastball
2,3,2,0,0,0,0,0,0,-2.79,2.025,2288.807004,14.28883236,7.716419637,FourSeam Fastball
2,0,0,0,0,0,0,0,0,-1.164,0.472,2409.496213,6.677849462,18.56263584,TwoSeam Fastball
2,1,0,0,0,0,1,0,1,0.365,2.001,2318.467404,5.937585523,16.1804108,TwoSeam Fastball
3,0,0,1,0,1,0,0,0,0.474,2.886,2205.435041,18.7468877,2.963186115,FourSeam Fastball
3,0,1,1,0,0,0,0,0,-1.1,3.517,2222.937971,15.97196056,4.543014139,FourSeam Fastball
3,1,1,1,0,1,0,0,0,0.518,1.829,2273.6201,17.90984394,2.474561542,FourSeam Fastball
3,1,2,1,0,1,1,0,0,-0.579,3.97,2315.875227,18.52497531,1.488183707,FourSeam Fastball
3,1,2,1,0,0,0,0,0,-1.806,1.438,2579.313459,6.056164756,-10.58336297,Slider
3,2,2,1,0,0,0,0,0,1.691,3.692,2339.441389,18.68076564,5.956313699,FourSeam Fastball
3,3,2,1,0,1,1,1,0,-0.218,2.477,1726.492659,7.033091083,13.63343295,Changeup
3,0,0,0,0,0,0,0,0,0.774,3.981,2279.550032,19.12106945,1.577118844,FourSeam Fastball
3,1,0,0,0,0,1,0,1,-0.157,2.888,2273.527082,20.56262638,3.016878933,FourSeam Fastball
3,0,0,0,0,1,1,1,0,-0.603,2.372,2332.868879,15.08234645,1.56022653,FourSeam Fastball
3,0,1,0,0,1,0,0,0,-0.606,1.729,2398.434065,17.14582492,1.008477479,FourSeam Fastball
3,0,2,0,0,1,1,0,0,-1.126,1.325,2526.233137,9.023264423,-4.591492563,Slider
3,0,2,0,0,0,0,0,0,-1.304,1.386,2325.456282,16.66261341,-0.023251668,FourSeam Fastball
3,1,2,0,0,1,1,1,0,-1.182,2.345,2599.305891,9.279117122,-6.365868956,Slider
3,0,0,1,0,0,0,0,0,-1.427,2.11,2233.160627,15.97792293,0.222135019,FourSeam Fastball
3,1,0,1,0,0,0,0,0,-1.27,2.523,2314.884016,16.05097629,0.297790468,FourSeam Fastball
3,2,0,1,0,0,0,0,0,0.871,2.419,1742.062971,4.901159301,14.00307712,Changeup
3,3,0,1,0,1,0,0,0,-0.891,2.084,2250.109358,16.15736057,3.237147182,FourSeam Fastball
3,3,1,1,0,0,1,0,1,-0.383,1.393,2410.031721,8.111615673,-0.351580054,Slider
3,0,0,1,0,0,1,0,1,0.196,1.55,NULL,-12.00377701,-7.808320433,Curveball
3,0,0,0,0,0,0,0,0,1.084,2.752,2295.087385,17.51930095,4.164784998,FourSeam Fastball
3,1,0,0,0,1,1,1,0,-0.777,1.882,2485.577131,2.131539837,-7.571210772,Slider
3,1,1,0,0,1,1,0,0,-0.261,1.267,2595.647932,-0.7130972,-8.016785055,Slider
3,1,2,0,0,0,1,0,1,-0.864,1.868,2715.748518,-3.510587916,-8.297385603,Slider
